书名,作者,状态,种类,总字数,总点击,总推荐,书评分,评价人数,作者等级,作品数,总创作字数,总创作天数,作品荣誉,本月票数,打赏数
朱雀记,猫腻,完本,玄幻,203.89,126.07,73.9,9.1,239,    白金 ,6,1688.03万,3737,39,1,0
游戏的世界,小穆,连载,游戏,389.64,527.97,73.72,8.3,1,    Lv.1 ,1,100.93万,320,37,0,0
超级能源强国,志鸟村,完本,都市,446.64,226.5,73.56,9.2,1168,    大神 ,6,1361.98万,3113,91,14,0
两界搬运工,石闻,完本,科幻,132.6,1244.12,72.83,8.5,159,    Lv.5 ,5,1268.26万,2050,91,43,0
宋时行,庚新,完本,历史,170.75,799.03,72.74,9,690,    大神 ,12,1777.99万,2986,91,3,0
我要做门阀,要离刺荆轲,连载,历史,342.75,171.8,72.66,9,345,    大神 ,3,932.48万,1743,40,95,3
漫威世界的术士,火之高兴,连载,奇幻,180.84,1202.8,72.36,8.6,309,    Lv.5 ,1,232.60万,733,91,30,0
超级系统,疯狂小强,完本,都市,291.22,455.56,72.31,8.6,47,    Lv.4 ,4,575.59万,1384,90,0,0
星际游轮,古剑锋,完本,科幻,116.89,515.84,72.23,8.9,799,    大神 ,7,2149.81万,3585,90,5,0
刺客魔传,撞破南墙,完本,玄幻,126.34,367.35,72.21,8.8,97,    Lv.5 ,7,1709.05万,4475,91,4,0
重生混元道,鱼泪满江,完本,仙侠,202.2,137.24,72.03,9.1,61,    Lv.4 ,2,201.53万,1061,71,7,0
重生传说,周行文,完本,都市,345.43,228.77,71.84,8.8,13,    Lv.1 ,6,289.86万,541,104,0,0
独裁之剑,发飙的蜗牛,完本,游戏,421.34,132.91,71.62,8.9,699,    Lv.5 ,9,1434.39万,2338,91,2,0
重生之足球神话,冰魂46,完本,体育,272.5,96.05,71.38,8.4,5,    Lv.1 ,3,265.98万,277,39,0,0
锻仙,新兵扛老枪,完本,仙侠,486.24,550.4,70.94,9.2,988,    Lv.5 ,3,804.85万,1914,154,3,0
吹神,辰机唐红豆,连载,都市,157.62,684.44,70.67,8.6,239,    大神 ,5,897.67万,1482,39,11,0
网游审判,羽民,完本,游戏,431.61,154.65,70.62,8.7,19,    Lv.3 ,14,1761.26万,3398,90,3,0
